"Consumer confidence index (CCI)"
"Amplitude adjusted, Long-term average = 100"
"Category","OECD"
"2021-11-01 00:00:00",99.5467
"2021-12-01 00:00:00",99.30767
"2022-01-01 00:00:00",98.975
"2022-02-01 00:00:00",98.51522
"2022-03-01 00:00:00",97.97727
"2022-04-01 00:00:00",97.58757
"2022-05-01 00:00:00",97.21995
"2022-06-01 00:00:00",96.85178
"2022-07-01 00:00:00",96.65114
"2022-08-01 00:00:00",96.6561
"2022-09-01 00:00:00",96.67608
"2022-10-01 00:00:00",96.77268
"2022-11-01 00:00:00",96.9536
"2022-12-01 00:00:00",97.22505
"2023-01-01 00:00:00",97.52908
"2023-02-01 00:00:00",97.77724
"2023-03-01 00:00:00",97.94718
"2023-04-01 00:00:00",98.15658
"2023-05-01 00:00:00",98.34482
"2023-06-01 00:00:00",98.52138
"2023-07-01 00:00:00",98.60036
"2023-08-01 00:00:00",98.49828
"2023-09-01 00:00:00",98.33662
"2023-10-01 00:00:00",98.23376
"2023-11-01 00:00:00",98.34163
"2023-12-01 00:00:00",98.66486
"2024-01-01 00:00:00",99.00734
